,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,,Category,Sum
15992,00d0cdf9-5919-4102-bf84-ebde253c3cd2,want,2021-02-18 9:30:46,audio,healthy eating,positive,70,,,,
15994,00d0cdf9-5919-4102-bf84-ebde253c3cd2,want,2020-07-04 16:52:22,audio,healthy eating,positive,70,,,,
15952,00d0cdf9-5919-4102-bf84-ebde253c3cd2,worried,2021-05-14 6:14:07,audio,healthy eating,negative,12,,,,
15958,00d0cdf9-5919-4102-bf84-ebde253c3cd2,worried,2020-10-11 9:30:45,audio,healthy eating,negative,12,,,,
15968,00d0cdf9-5919-4102-bf84-ebde253c3cd2,worried,2020-09-18 11:27:49,audio,healthy eating,negative,12,,,,
,,,,,,,,,,,
15981,00d0cdf9-5919-4102-bf84-ebde253c3cd2,worried,2020-12-05 14:01:30,audio,healthy eating,negative,12,,,,
15982,00d0cdf9-5919-4102-bf84-ebde253c3cd2,worried,2020-12-22 15:20:45,audio,healthy eating,negative,12,,,,
21954,01396602-c759-4a17-90f0-8f9b3ca11b30,adore,2021-02-07 23:29:28,GIF,tennis,positive,72,,,,
21975,01396602-c759-4a17-90f0-8f9b3ca11b30,cherish,2020-12-13 15:16:38,GIF,tennis,positive,70,,,,
21953,01396602-c759-4a17-90f0-8f9b3ca11b30,disgust,2020-10-31 11:49:48,GIF,tennis,negative,0,,,,
21967,01396602-c759-4a17-90f0-8f9b3ca11b30,disgust,2020-07-12 6:27:15,GIF,tennis,negative,0,,,,
21970,01396602-c759-4a17-90f0-8f9b3ca11b30,disgust,2020-12-18 10:28:49,GIF,tennis,negative,0,,,,
21982,01396602-c759-4a17-90f0-8f9b3ca11b30,disgust,2021-01-12 4:38:47,GIF,tennis,negative,0,,,,
21945,01396602-c759-4a17-90f0-8f9b3ca11b30,dislike,2021-03-10 19:12:02,GIF,tennis,negative,10,,,,
21946,01396602-c759-4a17-90f0-8f9b3ca11b30,dislike,2021-04-12 1:21:01,GIF,tennis,negative,10,,,,
21976,01396602-c759-4a17-90f0-8f9b3ca11b30,dislike,2021-04-14 15:13:20,GIF,tennis,negative,10,,,,
21959,01396602-c759-4a17-90f0-8f9b3ca11b30,hate,2020-12-15 3:39:45,GIF,tennis,negative,5,,,,
21961,01396602-c759-4a17-90f0-8f9b3ca11b30,hate,2021-03-21 11:30:19,GIF,tennis,negative,5,,,,
21979,01396602-c759-4a17-90f0-8f9b3ca11b30,hate,2020-11-02 6:10:17,GIF,tennis,negative,5,,,,
21983,01396602-c759-4a17-90f0-8f9b3ca11b30,hate,2020-12-25 12:40:38,GIF,tennis,negative,5,,,,
,,,,,,,,,,,
21952,01396602-c759-4a17-90f0-8f9b3ca11b30,heart,2020-11-01 14:49:49,GIF,tennis,positive,60,,,,
21966,01396602-c759-4a17-90f0-8f9b3ca11b30,heart,2020-08-21 0:42:45,GIF,tennis,positive,60,,,,
21978,01396602-c759-4a17-90f0-8f9b3ca11b30,heart,2020-10-31 9:24:01,GIF,tennis,positive,60,,,,
21981,01396602-c759-4a17-90f0-8f9b3ca11b30,heart,2020-06-29 12:50:35,GIF,tennis,positive,60,,,,
21949,01396602-c759-4a17-90f0-8f9b3ca11b30,indifferent,2021-01-01 9:57:56,GIF,tennis,neutral,20,,,,
21960,01396602-c759-4a17-90f0-8f9b3ca11b30,indifferent,2020-10-18 11:00:35,GIF,tennis,neutral,20,,,,
21977,01396602-c759-4a17-90f0-8f9b3ca11b30,indifferent,2020-12-01 15:04:22,GIF,tennis,neutral,20,,,,
21950,01396602-c759-4a17-90f0-8f9b3ca11b30,interested,2020-08-26 5:05:54,GIF,tennis,positive,30,,,,
21956,01396602-c759-4a17-90f0-8f9b3ca11b30,interested,2020-07-18 6:21:48,GIF,tennis,positive,30,,,,
21962,01396602-c759-4a17-90f0-8f9b3ca11b30,interested,2020-12-28 11:11:30,GIF,tennis,positive,30,,,,
21968,01396602-c759-4a17-90f0-8f9b3ca11b30,interested,2021-04-07 15:06:05,GIF,tennis,positive,30,,,,
21969,01396602-c759-4a17-90f0-8f9b3ca11b30,interested,2020-11-17 16:04:39,GIF,tennis,positive,30,,,,
21973,01396602-c759-4a17-90f0-8f9b3ca11b30,interested,2020-07-25 15:05:46,GIF,tennis,positive,30,,,,
21951,01396602-c759-4a17-90f0-8f9b3ca11b30,intrigued,2021-06-10 2:22:35,GIF,tennis,positive,45,,,,
21947,01396602-c759-4a17-90f0-8f9b3ca11b30,like,2021-05-09 5:35:55,GIF,tennis,positive,50,,,,
21948,01396602-c759-4a17-90f0-8f9b3ca11b30,like,2021-02-01 6:35:20,GIF,tennis,positive,50,,,,
21964,01396602-c759-4a17-90f0-8f9b3ca11b30,like,2021-01-30 22:56:53,GIF,tennis,positive,50,,,,
21972,01396602-c759-4a17-90f0-8f9b3ca11b30,like,2021-05-15 9:42:00,GIF,tennis,positive,50,,,,
21984,01396602-c759-4a17-90f0-8f9b3ca11b30,like,2020-11-30 1:03:08,GIF,tennis,positive,50,,,,
21980,01396602-c759-4a17-90f0-8f9b3ca11b30,love,2020-11-30 3:46:33,GIF,tennis,positive,65,,,,
21965,01396602-c759-4a17-90f0-8f9b3ca11b30,scared,2021-03-09 14:18:23,GIF,tennis,negative,15,,,,
21963,01396602-c759-4a17-90f0-8f9b3ca11b30,super love,2020-09-26 4:03:53,GIF,tennis,positive,75,,,,
21974,01396602-c759-4a17-90f0-8f9b3ca11b30,super love,2020-10-23 19:39:18,GIF,tennis,positive,75,,,,
21957,01396602-c759-4a17-90f0-8f9b3ca11b30,want,2021-02-08 2:28:48,GIF,tennis,positive,70,,,,
21955,01396602-c759-4a17-90f0-8f9b3ca11b30,worried,2020-11-11 12:54:02,GIF,tennis,negative,12,,,,
21958,01396602-c759-4a17-90f0-8f9b3ca11b30,worried,2021-03-14 6:50:46,GIF,tennis,negative,12,,,,
21971,01396602-c759-4a17-90f0-8f9b3ca11b30,worried,2021-06-12 3:13:24,GIF,tennis,negative,12,,,,
19731,019b61f4-926c-438e-adaf-6119c5eab752,adore,2021-01-03 10:54:08,photo,fitness,positive,72,,,,
19735,019b61f4-926c-438e-adaf-6119c5eab752,adore,2020-12-05 9:06:29,photo,fitness,positive,72,,,,
19729,019b61f4-926c-438e-adaf-6119c5eab752,disgust,2020-12-04 23:58:44,photo,fitness,negative,0,,,,
19733,019b61f4-926c-438e-adaf-6119c5eab752,disgust,2020-11-15 21:22:40,photo,fitness,negative,0,,,,
,,,,,,,,,,,
19727,019b61f4-926c-438e-adaf-6119c5eab752,indifferent,2020-10-12 13:41:09,photo,fitness,neutral,20,,,,
19728,019b61f4-926c-438e-adaf-6119c5eab752,interested,2021-02-06 16:49:05,photo,fitness,positive,30,,,,
19737,019b61f4-926c-438e-adaf-6119c5eab752,interested,2021-05-08 21:29:14,photo,fitness,positive,30,,,,
19726,019b61f4-926c-438e-adaf-6119c5eab752,intrigued,2020-07-19 20:11:36,photo,fitness,positive,45,,,,
19734,019b61f4-926c-438e-adaf-6119c5eab752,like,2020-08-30 0:26:29,photo,fitness,positive,50,,,,
19732,019b61f4-926c-438e-adaf-6119c5eab752,peeking,2021-04-05 12:34:58,photo,fitness,neutral,35,,,,
19730,019b61f4-926c-438e-adaf-6119c5eab752,scared,2020-06-23 17:24:22,photo,fitness,negative,15,,,,
,,,,,,,,,,,
19736,019b61f4-926c-438e-adaf-6119c5eab752,scared,2021-03-26 22:08:29,photo,fitness,negative,15,,,,
,,,,,,,,,,,
19725,019b61f4-926c-438e-adaf-6119c5eab752,want,2020-06-25 17:15:07,photo,fitness,positive,70,,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,2021-05-24 18:03:26,video,food,negative,15,,,,
13889,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,adore,2020-08-15 18:05:31,video,fitness,positive,72,,,,
13898,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,adore,2020-07-16 6:34:54,video,fitness,positive,72,,,,
13903,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,adore,2021-05-31 21:59:58,video,fitness,positive,72,,,,
13911,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,adore,2020-07-14 21:27:38,video,fitness,positive,72,,,,
13908,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,cherish,2020-08-24 15:26:16,video,fitness,positive,70,,,,
13913,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,cherish,2020-07-14 16:38:33,video,fitness,positive,70,,,,
13917,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,cherish,2020-08-27 16:18:54,video,fitness,positive,70,,,,
13886,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,disgust,2020-11-19 16:07:26,video,fitness,negative,0,,,,
13888,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,disgust,2020-10-10 20:43:03,video,fitness,negative,0,,,,
13890,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,disgust,2021-05-14 6:46:36,video,fitness,negative,0,,,,
13914,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,disgust,2020-11-21 0:19:51,video,fitness,negative,0,,,,
13883,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,dislike,2020-07-25 7:32:46,video,fitness,negative,10,,,,
13912,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,dislike,2021-01-04 5:59:53,video,fitness,negative,10,,,,
13877,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,hate,2020-12-22 19:21:53,video,fitness,negative,5,,,,
13882,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,heart,2021-05-25 7:58:56,video,fitness,positive,60,,,,
13878,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,indifferent,2020-11-15 4:24:01,video,fitness,neutral,20,,,,
13897,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,indifferent,2020-07-11 18:20:52,video,fitness,neutral,20,,,,
13909,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,indifferent,2020-09-08 21:28:06,video,fitness,neutral,20,,,,
13916,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,indifferent,2021-01-26 4:30:41,video,fitness,neutral,20,,,,
13902,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,interested,2020-06-18 20:29:35,video,fitness,positive,30,,,,
,,,,,,,,,,,
13905,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,interested,2020-11-19 7:04:26,video,fitness,positive,30,,,,
13876,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,intrigued,2021-04-18 5:49:35,video,fitness,positive,45,,,,
13884,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,intrigued,2020-07-09 4:49:25,video,fitness,positive,45,,,,
13887,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,like,2020-11-11 2:57:16,video,fitness,positive,50,,,,
13892,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,like,2021-01-05 10:05:38,video,fitness,positive,50,,,,
13899,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,like,2021-04-14 3:58:34,video,fitness,positive,50,,,,
13900,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,like,2021-02-15 4:21:43,video,fitness,positive,50,,,,
13910,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,like,2020-09-17 3:44:16,video,fitness,positive,50,,,,
13918,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,like,2021-04-02 19:12:34,video,fitness,positive,50,,,,
13880,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,love,2020-08-26 20:13:06,video,fitness,positive,65,,,,
13893,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,love,2020-10-04 11:40:48,video,fitness,positive,65,,,,
13895,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,scared,2021-06-04 15:07:54,video,fitness,negative,15,,,,
13879,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,2020-09-22 7:20:53,video,fitness,positive,75,,,,
13885,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,2020-06-29 16:41:57,video,fitness,positive,75,,,,
13894,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,2020-07-18 7:23:39,video,fitness,positive,75,,,,
13896,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,2020-08-02 22:19:10,video,fitness,positive,75,,,,
13901,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,2021-01-09 11:32:28,video,fitness,positive,75,,,,
13906,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,super love,2021-06-10 22:10:52,video,fitness,positive,75,,,,
13881,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,want,2020-08-14 16:24:42,video,fitness,positive,70,,,,
13907,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,want,2021-05-07 8:27:22,video,fitness,positive,70,,,,
13915,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,want,2020-10-24 22:26:12,video,fitness,positive,70,,,,
13891,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,worried,2020-12-11 7:19:30,video,fitness,negative,12,,,,
13904,01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,worried,2021-01-24 3:19:05,video,fitness,negative,12,,,,
18239,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,adore,2021-01-29 20:33:29,GIF,science,positive,72,,,,
18250,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,adore,2020-11-18 4:50:20,GIF,science,positive,72,,,,
18255,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,cherish,2020-08-16 15:36:26,GIF,science,positive,70,,,,
18233,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,disgust,2020-07-03 2:57:32,GIF,science,negative,0,,,,
18234,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,dislike,2021-01-14 23:35:27,GIF,science,negative,10,,,,
18238,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,dislike,2021-05-08 18:38:17,GIF,science,negative,10,,,,
18257,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,dislike,2021-03-30 9:10:19,GIF,science,negative,10,,,,
18258,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,dislike,2021-03-11 22:33:06,GIF,science,negative,10,,,,
18242,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,hate,2020-07-16 0:43:29,GIF,science,negative,5,,,,
18243,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,hate,2020-10-19 23:36:17,GIF,science,negative,5,,,,
18261,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,hate,2021-02-05 18:05:41,GIF,science,negative,5,,,,
18244,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,heart,2020-11-16 14:17:11,GIF,science,positive,60,,,,
18245,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,heart,2020-08-02 2:08:31,GIF,science,positive,60,,,,
18237,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,indifferent,2020-11-27 22:17:55,GIF,science,neutral,20,,,,
18254,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,indifferent,2021-02-22 11:51:38,GIF,science,neutral,20,,,,
18256,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,indifferent,2020-08-08 23:25:18,GIF,science,neutral,20,,,,
18247,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,interested,2020-09-25 15:35:05,GIF,science,positive,30,,,,
18249,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,intrigued,2020-10-28 4:49:16,GIF,science,positive,45,,,,
18252,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,intrigued,2020-07-04 21:05:51,GIF,science,positive,45,,,,
18262,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,intrigued,2020-10-15 19:19:29,GIF,science,positive,45,,,,
18264,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,intrigued,2021-04-18 19:01:09,GIF,science,positive,45,,,,
,,,,,,,,,,,
18235,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,like,2020-11-02 20:46:41,GIF,science,positive,50,,,,
18241,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,like,2021-05-16 10:01:00,GIF,science,positive,50,,,,
18265,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,like,2021-05-13 11:34:03,GIF,science,positive,50,,,,
18266,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,like,2020-11-01 5:04:05,GIF,science,positive,50,,,,
,,,,,,,,,,,
18240,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,love,2020-08-18 9:26:06,GIF,science,positive,65,,,,
18251,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,love,2020-09-28 9:27:34,GIF,science,positive,65,,,,
18259,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,love,2020-11-23 13:52:58,GIF,science,positive,65,,,,
18263,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,love,2020-11-27 2:21:39,GIF,science,positive,65,,,,
18253,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,peeking,2021-05-31 6:37:40,GIF,science,neutral,35,,,,
18248,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,scared,2020-07-30 9:16:30,GIF,science,negative,15,,,,
18260,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,scared,2020-07-24 22:19:27,GIF,science,negative,15,,,,
18232,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,super love,2020-11-07 12:53:49,GIF,science,positive,75,,,,
18246,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,super love,2020-07-03 11:21:51,GIF,science,positive,75,,,,
18236,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,worried,2020-10-01 20:20:16,GIF,science,negative,12,,,,
1666,026973ef-4b73-4901-9160-bc9e04516057,adore,2020-10-14 7:33:22,audio,culture,positive,72,,,,
1671,026973ef-4b73-4901-9160-bc9e04516057,adore,2020-10-20 13:38:23,audio,culture,positive,72,,,,
,,,,,,,,,,,
1675,026973ef-4b73-4901-9160-bc9e04516057,adore,2021-06-07 7:05:10,audio,culture,positive,72,,,,
1683,026973ef-4b73-4901-9160-bc9e04516057,cherish,2021-01-16 16:51:47,audio,culture,positive,70,,,,
1673,026973ef-4b73-4901-9160-bc9e04516057,disgust,2020-12-27 23:36:09,audio,culture,negative,0,,,,
1681,026973ef-4b73-4901-9160-bc9e04516057,disgust,2020-10-20 13:31:02,audio,culture,negative,0,,,,
1668,026973ef-4b73-4901-9160-bc9e04516057,dislike,2021-04-30 3:32:00,audio,culture,negative,10,,,,
1676,026973ef-4b73-4901-9160-bc9e04516057,dislike,2021-04-04 10:31:09,audio,culture,negative,10,,,,
1656,026973ef-4b73-4901-9160-bc9e04516057,hate,2020-11-03 5:25:42,audio,culture,negative,5,,,,
1658,026973ef-4b73-4901-9160-bc9e04516057,hate,2021-04-30 16:52:06,audio,culture,negative,5,,,,
1650,026973ef-4b73-4901-9160-bc9e04516057,heart,2020-12-19 12:17:27,audio,culture,positive,60,,,,
1662,026973ef-4b73-4901-9160-bc9e04516057,heart,2021-03-16 15:52:11,audio,culture,positive,60,,,,
1670,026973ef-4b73-4901-9160-bc9e04516057,heart,2020-12-19 23:12:17,audio,culture,positive,60,,,,
1674,026973ef-4b73-4901-9160-bc9e04516057,indifferent,2021-05-03 17:58:20,audio,culture,neutral,20,,,,
1682,026973ef-4b73-4901-9160-bc9e04516057,indifferent,2021-05-10 19:50:48,audio,culture,neutral,20,,,,
1649,026973ef-4b73-4901-9160-bc9e04516057,interested,2021-04-17 4:47:55,audio,culture,positive,30,,,,
1653,026973ef-4b73-4901-9160-bc9e04516057,interested,2020-08-21 13:35:04,audio,culture,positive,30,,,,
1659,026973ef-4b73-4901-9160-bc9e04516057,interested,2021-03-14 5:40:43,audio,culture,positive,30,,,,
1667,026973ef-4b73-4901-9160-bc9e04516057,interested,2020-11-23 13:56:32,audio,culture,positive,30,,,,
1669,026973ef-4b73-4901-9160-bc9e04516057,interested,2020-12-21 16:29:54,audio,culture,positive,30,,,,
1679,026973ef-4b73-4901-9160-bc9e04516057,interested,2020-09-30 6:52:38,audio,culture,positive,30,,,,
1661,026973ef-4b73-4901-9160-bc9e04516057,intrigued,2021-05-30 8:54:24,audio,culture,positive,45,,,,
1665,026973ef-4b73-4901-9160-bc9e04516057,intrigued,2020-10-31 7:30:10,audio,culture,positive,45,,,,
1663,026973ef-4b73-4901-9160-bc9e04516057,like,2020-11-01 5:54:05,audio,culture,positive,50,,,,
1672,026973ef-4b73-4901-9160-bc9e04516057,like,2021-05-24 13:11:09,audio,culture,positive,50,,,,
1651,026973ef-4b73-4901-9160-bc9e04516057,love,2020-11-27 3:06:16,audio,culture,positive,65,,,,
1657,026973ef-4b73-4901-9160-bc9e04516057,love,2021-04-02 7:27:56,audio,culture,positive,65,,,,
1664,026973ef-4b73-4901-9160-bc9e04516057,love,2021-03-22 15:50:47,audio,culture,positive,65,,,,
1677,026973ef-4b73-4901-9160-bc9e04516057,peeking,2020-12-26 14:15:22,audio,culture,neutral,35,,,,
1678,026973ef-4b73-4901-9160-bc9e04516057,peeking,2021-01-15 1:15:43,audio,culture,neutral,35,,,,
1654,026973ef-4b73-4901-9160-bc9e04516057,super love,2020-10-06 9:10:59,audio,culture,positive,75,,,,
1680,026973ef-4b73-4901-9160-bc9e04516057,super love,2020-09-22 20:24:49,audio,culture,positive,75,,,,
1652,026973ef-4b73-4901-9160-bc9e04516057,want,2021-01-07 10:24:20,audio,culture,positive,70,,,,
1655,026973ef-4b73-4901-9160-bc9e04516057,want,2020-10-07 18:13:22,audio,culture,positive,70,,,,
1660,026973ef-4b73-4901-9160-bc9e04516057,want,2021-04-10 15:19:33,audio,culture,positive,70,,,,
1684,026973ef-4b73-4901-9160-bc9e04516057,want,2021-05-29 19:52:18,audio,culture,positive,70,,,,
8889,0289b7bc-bc95-4f1d-83fe-9ca662194158,adore,2021-02-15 19:50:28,audio,tennis,positive,72,,,,
8881,0289b7bc-bc95-4f1d-83fe-9ca662194158,cherish,2020-09-24 17:59:34,audio,tennis,positive,70,,,,
8882,0289b7bc-bc95-4f1d-83fe-9ca662194158,cherish,2021-03-30 12:25:01,audio,tennis,positive,70,,,,
8885,0289b7bc-bc95-4f1d-83fe-9ca662194158,cherish,2020-07-07 17:39:06,audio,tennis,positive,70,,,,
